Event Type,Date,Name,More Info:,Description,Time,Location
Exhibition,"July 31, 2025",The Magic of Marbling: The Art of Karli Frigge,https://www.metmuseum.org/exhibitions/the-magic-of-marbling-the-art-of-karli-frigge,"Karli Frigge (1943–) is one of the world’s most prominent and innovative paper marblers. From 1960 to 2000 she produced marbled papers and publications that are renowned for their innovation and creativity. The Magic of Marbling: The Art of Karli Frigge presents selections from Watson Library’s collection of her work including her sample books, recipe books, instruction guides, and workbooks.

Frigge studied bookbinding at the Graphic School in Holland and the Rotterdam Academy of Decorative Arts (now the William de Kooning Academy) under Dieuweke Kollweijn, a preeminent Dutch bookbinder. Frigge has distributed and published examples of her marbling in numerous limited-edition formats. Her most recent publication from 2023 is titled Set of Historical Marbled Papers. This extraordinary collection brings together a selection of her marbled papers made between 1974 and 1998 and serves as a retrospective including her signature patterns: landscape, tiger eye, and alchemy marbles.

Watson Library’s collection of Karli Frigge’s work is part of a larger outstanding collection on the history of papermaking and decorated paper. The collection was enhanced in 2016 by a significant donation of four hundred and fifty books from Mary Schlosser. In 2018, Mindell Dubansky, Museum Librarian for Conservation and Preservation, started a Paper Legacy Collection that now holds the work of more than fifty American decorated paper artists active from the 1960s to 2000s. That collection includes extensive paper samples, publications, tools, recipe books, and personal correspondence.

The exhibition of Karli Frigge’s work is complemented by Frigge’s vivid, inspirational quotes about the practice of marbling and by insightful comments from Sidney E. Berger, Frigge’s biographer. His comprehensive account, Karli Frigge’s Life in Marbling, is on display in the exhibition.",,The Met Fifth Avenue in Thomas J. Watson Library
Performance,"July 4, 2025",Date Night at The Met,https://engage.metmuseum.org/events/marketing/date-night-at-the-met/fy26/july/date-night-july-4-5/?_gl=1*tadfj5*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDMyNDckajQ1JGwwJGgw,"Every Friday and Saturday night, it’s Date Night at The Met! Bring a friend, a partner, or enjoy a solo evening of live music, drink specials, unique programming, and 5,000 years of art.

Enjoy drink specials and light fare in the American Wing Cafe, The Great Hall Balcony Cafe, and the Petrie Court Cafe. Met Members at the Dual level and above are welcome to enjoy a small bites menu in the Balcony Lounge.",5–9 pm,"The Met Fifth Avenue
"
Special Event,"July 5, 2025",Weekend Member Mornings,https://engage.metmuseum.org/events/membership/weekend-member-mornings/weekend-member-mornings-july-5/?_gl=1*qod33c*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDMzNzkkajU4JGwwJGgw,"On View, Just for You

Start your weekend at The Met! Every Saturday and Sunday, Members are invited to experience select exhibitions before public hours.  ",9–10 am,The Met Fifth Avenue
Performance,"July 5, 2025",Date Night at The Met,https://engage.metmuseum.org/events/marketing/date-night-at-the-met/fy26/july/date-night-july-4-5/?_gl=1*7jm51b*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDM0NDIkajU4JGwwJGgw,"Every Friday and Saturday night, it’s Date Night at The Met! Bring a friend, a partner, or enjoy a solo evening of live music, drink specials, unique programming, and 5,000 years of art.

Enjoy drink specials and light fare in the American Wing Cafe, The Great Hall Balcony Cafe, and the Petrie Court Cafe. Met Members at the Dual level and above are welcome to enjoy a small bites menu in the Balcony Lounge.",5–9 pm,"The Met Fifth Avenue
"
Workshop,"July 11, 2025",Drop-in Drawing—Sketching Sargent,https://engage.metmuseum.org/events/education/workshops-and-classes/creative-practice/drop-in-drawing/fy26/drop-in-drawing-sketching-sargent/?_gl=1*13b53bi*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDM3NjkkajYwJGwwJGgw,"Experience The Met collection through creative drawing challenges with expert teaching artists. In this special gallery session, draw inspiration from the shapes and lines found in both John Singer and Emily Sargent’s watercolor paintings created during their time in Paris, and use them to create your own illustrious watercolor sketch. Materials are provided, but you may bring your own sketchbook. Please note, only pencils are allowed in the galleries. Demonstrations repeat every 40 minutes. For visitors of all ages.

Presented in conjunction with the exhibitions Sargent and Paris and Emily Sargent: Portrait of a Family  and as a part of Date Night—Sargent and Paris.",6–8 pm,"The Met Fifth Avenue

Gallery 548, Carroll and Milton Petrie European Sculpture Court"
Performance,"July 11, 2025",Date Night at The Met,https://engage.metmuseum.org/events/marketing/date-night-at-the-met/fy26/july/date-night-july-11-12/?_gl=1*1vfrwge*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQxNjgkajU3JGwwJGgw,"Every Friday and Saturday night, it’s Date Night at The Met! Bring a friend, a partner, or enjoy a solo evening of live music, drink specials, unique programming, and 5,000 years of art.

Enjoy drink specials and light fare in the American Wing Cafe, The Great Hall Balcony Cafe, and the Petrie Court Cafe. Met Members at the Dual level and above are welcome to enjoy a small bites menu in the Balcony Lounge.",5–9 pm,The Met Fifth Avenue
Artist Talk,"July 11, 2025",Artists on Artworks—Artist Drake Carr on John Singer Sargent,https://engage.metmuseum.org/events/education/talks/public-programs/gallery-talks/artists-on-artworks-drake-carr-on-sargent-and-paris/?_gl=1*19qmzs4*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQyNjYkajUwJGwwJGgw,See The Met collection through artists' eyes. Join painter and illustrator Drake Carr as he reflects on artwork in the exhibition Sargent and Paris. Listen as Carr discusses themes in the exhibit that resonate with his artistic practice and shares more about his own work as a portrait painter.,7–7:30 pm,"The Met Fifth Avenue

Gallery 899, The Tisch Galleries"
Special Event,"July 12, 2025",Weekend Member Mornings,https://engage.metmuseum.org/events/membership/weekend-member-mornings/weekend-member-mornings-july-12/?_gl=1*bvwhhf*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQzODgkajU3JGwwJGgw,"On View, Just for You

Start your weekend at The Met! Every Saturday and Sunday, Members are invited to experience select exhibitions before public hours.  

",9–10 am,The Met Fifth Avenue
Family Program,"July 12, 2025",81st Street Studio Member Mornings,https://engage.metmuseum.org/events/membership/81st-street-studio-member-mornings/81st-street-studio-member-mornings-july-12/?_gl=1*kcexjy*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQ1MjIkajU4JGwwJGgw,"81st Street Studio, Just for You

Explore the 81st Street Studio–The Met's new space for art, science, and discovery! Family level Members and above are invited to experience the 81st Street Studio before public hours.  
",9–10 am,The Met Fifth Avenue
Workshop,"July 12, 2025",Open Studio—Sound and Sculpture,https://engage.metmuseum.org/events/education/workshops-and-classes/creative-practice/open-studio/fy25/open-studio-sound-and-sculpture/?_gl=1*1049b9c*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQ2ODYkajU4JGwwJGgw,"Use unconventional materials to create your own sculpture inspired by musical instruments in The Met collection.

Presented in conjunction with the exhibition The Roof Garden Commission: Jennie C. Jones, Ensemble.",1–4 pm,"The Met Fifth Avenue

Gallery 548, Carroll and Milton Petrie European Sculpture Court"
