Event Type,Date,Name,More Info:,Short Description,Description,Time,Location
Gallery Experience,"July 4, 2025",Before-Hours Tours with an Art Historian,https://www.moma.org/calendar/events/10165,"Experience the serenity of an exclusive tour of MoMA before the museum opens to the public. Join your professional art-historian guide on a relaxing stroll through the galleries and connect on a deeper level with the works on display.

Tours meet in the early morning, and you’ll get a full hour of exclusive access to the galleries via a private entrance. With your guide and a small group, you can take advantage of the morning’s peace and tranquility to look more deeply at works that typically draw larger crowds of visitors, while taking in fascinating facts and anecdotes about the artists and their techniques.

This program is not part of Member Early Hours. Museum admission included in the cost of the tour.

Afterward, explore MoMA’s six floors of galleries at your leisure. Discover an extensive range of modern and contemporary art, ranging from European painting and sculpture of the 1880s to contemporary film, design, and performance art. Admire famous works of modern art like Claude Monet’s Water Lilies, Pablo Picasso’s Les Demoiselles d’Avignon, Henri Matisse’s Dance (I), and Andy Warhol’s Campbell’s Soup Cans alongside contemporary pieces by Elizabeth Murray, Cindy Sherman, Ai Weiwei, and many others.",9:30–10:30 a.m.,"MoMA, Floor 5",
Gallery Experience,"July 4, 2025",UNIQLO Friday Nights,https://www.moma.org/calendar/events/10253,"MoMA is now open late every Friday night, and admission is free for all New York State residents! Visit our newest exhibitions, Hilma af Klint: What Stands Behind the Flowers and Jack Whitten: The Messenger, along with our collection galleries. Get creative with drop-in drawing sessions and activities and artist demos in the Creativity Lab. Plus, shop for unique design objects from the MoMA Design Store.",5:30–8:30 p.m.,MoMA,
Gallery Experience,"July 4, 2025",Drop-in Drawing,https://www.moma.org/calendar/events/10619,"In conjunction with the exhibition Hilma af Klint: What Stands Behind the Flowers, our July Drop-in Drawing sessions will be held in the Abby Aldrich Rockefeller Sculpture Garden. These drop-in sessions will feature self-guided nature-journaling prompts written by botanist Lena Struwe and inspired by Hilma af Klint’s practice of sustained attention to nature.

Nature journaling is an easy way to get inspired by the natural discovery of small and large experiences wherever you are. Using your eyes, ears, and other senses and making sketches and written notes to create a journal page, you will learn how to see more everywhere, ask questions about it, and connect your observations to your memories and previous knowledge. Anyone can nature journal.

Explore nature in this relaxed drop-in session for all ages. Materials and seating are provided. Participation is open to all, with no experience, ability, or reservations required. In addition to self-guided prompts, this session will feature short, artist-led demos/lessons throughout the evening. Drawing prompts will be available in English and Spanish. In the event of rain or high temperatures Drop-in Drawing will be held in Gallery 400.

Drop-in Drawing is part of UNIQLO Friday Nights, when MoMA is open late every Friday night, and admission is free for all New York State residents.


Dr. Lena Struwe is director of the Chrysler Herbarium and a professor at the School of Environmental and Biological Sciences at Rutgers University, where she teaches evolution, botany, biodiversity, and nature journaling. She has over 35 years of broad scientific research, community engagement, and teaching experience.",5:30–7:30 p.m.,"MoMA, Floor 1,
Sculpture Garden

The Abby Aldrich
Rockefeller
Sculpture Garden
",
Gallery Experience,"July 5, 2025",Member Early Hour,https://www.moma.org/calendar/events/7435,"On Saturday and Sunday mornings from 9:30 to 10:30 a.m., select galleries in the Museum are open to members and their guests only. This weekend, explore Woven Histories: Textiles and Modern Abstraction, Video After Video: The Critical Media of CAMP, and Pirouette: Turning Points in Design, open for Member Early Hour.",9:30–10:30 a.m.,MoMA,
Gallery Experience,"July 5, 2025",Before-Hours Tours with an Art Historian,https://www.moma.org/calendar/events/10165,"Experience the serenity of an exclusive tour of MoMA before the museum opens to the public. Join your professional art-historian guide on a relaxing stroll through the galleries and connect on a deeper level with the works on display.

Tours meet in the early morning, and you’ll get a full hour of exclusive access to the galleries via a private entrance. With your guide and a small group, you can take advantage of the morning’s peace and tranquility to look more deeply at works that typically draw larger crowds of visitors, while taking in fascinating facts and anecdotes about the artists and their techniques.

This program is not part of Member Early Hours. Museum admission included in the cost of the tour.

Afterward, explore MoMA’s six floors of galleries at your leisure. Discover an extensive range of modern and contemporary art, ranging from European painting and sculpture of the 1880s to contemporary film, design, and performance art. Admire famous works of modern art like Claude Monet’s Water Lilies, Pablo Picasso’s Les Demoiselles d’Avignon, Henri Matisse’s Dance (I), and Andy Warhol’s Campbell’s Soup Cans alongside contemporary pieces by Elizabeth Murray, Cindy Sherman, Ai Weiwei, and many others.",9:30–10:30 a.m.,"MoMA, Floor 5",
Gallery Experience,"July 6, 2025",Member Early Hour,https://www.moma.org/calendar/events/7435,"On Saturday and Sunday mornings from 9:30 to 10:30 a.m., select galleries in the Museum are open to members and their guests only. This weekend, explore Woven Histories: Textiles and Modern Abstraction, Video After Video: The Critical Media of CAMP, and Pirouette: Turning Points in Design, open for Member Early Hour.",9:30–10:30 a.m.,"MoMA
",
Gallery Experience,"July 6, 2025",Before-Hours Tours with an Art Historian,https://www.moma.org/calendar/events/10165,"Experience the serenity of an exclusive tour of MoMA before the museum opens to the public. Join your professional art-historian guide on a relaxing stroll through the galleries and connect on a deeper level with the works on display.

Tours meet in the early morning, and you’ll get a full hour of exclusive access to the galleries via a private entrance. With your guide and a small group, you can take advantage of the morning’s peace and tranquility to look more deeply at works that typically draw larger crowds of visitors, while taking in fascinating facts and anecdotes about the artists and their techniques.

This program is not part of Member Early Hours. Museum admission included in the cost of the tour.

Afterward, explore MoMA’s six floors of galleries at your leisure. Discover an extensive range of modern and contemporary art, ranging from European painting and sculpture of the 1880s to contemporary film, design, and performance art. Admire famous works of modern art like Claude Monet’s Water Lilies, Pablo Picasso’s Les Demoiselles d’Avignon, Henri Matisse’s Dance (I), and Andy Warhol’s Campbell’s Soup Cans alongside contemporary pieces by Elizabeth Murray, Cindy Sherman, Ai Weiwei, and many others.",9:30–10:30 a.m.,"MoMA, Floor 5",
Lecture,"July 7, 2025",Hilma af Klint Member Lecture Series,https://www.moma.org/calendar/events/10560,"In the spring and summer of 1919 and 1920, during a period of intense engagement with the natural world, artist Hilma af Klint drew flowers almost every day. In celebration of the exhibition Hilma af Klint: What Stands Behind the Flowers we invite you to delve into Hilma af Klint’s explorations of nature and spirituality through a three-part lecture series.

This lecture series engages Hilma af Klint’s unique archive of botanical drawings to explore questions fundamental to histories of modern art. Through a close discussion of af Klint’s unique and compelling project, we will visit the borders between art and science, and we will test the divisions between scientific rationality and visionary intuition. Fundamentally, we will come to understand the importance of Hilma af Klint’s contributions at the frontiers of these powerful interpretive frameworks.",6:00–7:00 p.m.,"MoMA, Mezzanine,
Theater 3

The Celeste
Bartos Theater",
Gallery Experience,"July 8, 2025",YPC Curatorial Walk-Through: Visual Vernaculars,https://www.moma.org/calendar/events/10727,"Join us for a breakfast reception and early-hours walk-through of Gallery 521: Visual Vernaculars, led by Oluremi C. Onabanjo, The Peter Schub Curator, Department of Photography.

This event is open to members of the Young Patrons Council. To learn more about the benefits of membership and how to join, please contact Natalie Sereda at (212) 333-1240 or natalie_sereda@moma.org.

Founded in 1990, the Young Patrons Council of The Museum of Modern Art (formerly the Junior Associates) is one of New York City’s first young patron programs. A dynamic group of art enthusiasts between the ages of 21 and 40, the Young Patrons Council is an integral part of the MoMA family, participating in and supporting modern and contemporary art initiatives both at the Museum and within the greater art world. Through exclusive access to galleries, artist studios, private collections, and curatorial tours, members of the Young Patrons Council have the chance to build lasting relationships with artists, collectors, curators, and their fellow members.
",9:30– 10:30 a.m.,"MoMA, Floor 5, 521

The Alfred H.
Barr, Jr. Galleries",
Lecture,"July 8, 2025",Whitten Talks with Nathalie Joachim and George Lewis,https://www.moma.org/calendar/events/10572,"Join the acclaimed composers-performers Nathalie Joachim and George Lewis as they reflect on Jack Whitten’s deep engagement with jazz as a method for artistic expression. They will consider the role of improvisation in his practice, the meaning of music for Whitten, and what they see in the artist’s work as composers and musicians.

This event is part of Whitten Talks: Artists on Artists, a series of conversations on the occasion of the exhibition _Jack Whitten: The Messenger_ in which contemporary artists reflect on Whitten’s pathbreaking exploration of race, technology, jazz, love, and war from the 1960s through to his legacy today. Please join us for what will be illuminating conversations revealing what only artists see.

Nathalie Joachim is a Grammy-nominated performer and composer committed to storytelling as a form of human connection and cultural awareness. She is regularly commissioned to write for orchestra, instrumental and vocal ensembles, dance, and interdisciplinary theater. Joachim is an assistant professor of composition at Princeton University and a 2024–25 MoMA Scholar in Residence.

George Lewis is an acclaimed American composer, musicologist, and trombonist. He is the Edwin H. Case Professor of American Music and Area Chair in Composition at Columbia University and the artistic director of the International Contemporary Ensemble. His scholarship considers the history and criticism of experimental music, computer music, interactive media, and improvisation, and their entanglement with the dynamics of race, gender, and decolonization.

This program is organized by the Department of Research Programs and the Jack Whitten: The Messenger curatorial team.",6:30–8:00 p.m.,"MoMA, Mezzanine,
Theater 3

The Celeste
Bartos Theater",
