Event Type,Date,Name,More Info:,Short Description,Description,Time,Location
Tours,"July 9, 2025",Gallery Tour: New York and the Art Students League,https://www.nyhistory.org/programs/gallery-tour-new-york-and-the-art-students-league1?date=2025-07-09,"Join experienced docents and dive into the lasting impact of the Art Students League, whose alumni include Normal Rockwell, Mark Rothco, Georgia O'Keeffee, and Jacob Lawrence.","Thousands of artists—including Norman Rockwell, Mark Rothko, Georgia O’Keeffe, and Jacob Lawrence—have studied and taught at the Art Students League, a New York institution founded in 1875 by a group of young artists who believed that an arts education should be accessible to anyone seeking it and who envisioned an artist-run school free from dictates of process or style. To mark the 150th anniversary of the League, The New York Historical showcases works by League affiliates with featured paintings drawn from The Historical’s promised gift of 130 scenes of New York City from art collectors and philanthropists Elie and Sarah Hirschfeld.

This intimate guided tour will feature a selection of The Art Students League artists and teachers including Theresa Bernstein, Reginald Marsh, Michiyo Fukushima, Stuart Davis and Ben Shahn amongst others.
",,"The New York Historical, 170 Central Park West, New York, NY 10024"
Talk,"July 9, 2025",Charles Sumner: Conscience of a Nation,https://www.nyhistory.org/programs/charles-sumner-conscience-of-a-nation?date=2025-07-09,Our popular outdoor lecture series is back! The New York Historical is thrilled to once again partner with the Bryant Park Reading Room to present a series of free programs in the park.,"Charles Sumner is often remembered as the recipient of a brutal caning on the Senate floor from pro-slavery congressman Preston Brooks in 1856. However, his historical and political legacy encompasses much more than this singular moment in the lead-up to the Civil War. Author Zaakir Tameez offers a new perspective on Sumner, one of the most ardent proponents of multiracial democracy of his day, a key player in modern civil rights law, and a gay man at a time when homosexuality was neither accepted nor understood.

Zaakir Tameez is a Fulbright Scholar and Humanity in Action Senior Fellow whose new book is Charles Sumner: Conscience of a Nation.",,This program will be held at the outdoor Reading Room in Bryant Park. The Reading Room is located on the 42nd Street side of the park between 5th and 6th Avenues. Look for the yellow and white umbrellas.
Music,"July 11, 2025",New York Historical Summer!,https://www.nyhistory.org/programs/new-york-historical-summer10?date=2025-07-11,Spend your Friday evenings with us this July! The New York Historical is celebrating the summer with live music.,"Join us for pay-as-you-wish admission on Fridays. Swing by our restaurant Clara for a special menu of select wine, beer, and cocktails, then wander over to Smith Gallery to hear old-school jazz starting at 5:30 pm from Michael Hashim's trio.",5:30 PM,"1st floor, Robert H. and Clarice Smith New York Gallery of American History at The New York Historical, 170 Central Park West, New York, NY 10024"
Talk,"July 16, 2025",Illiberal America: A History,https://www.nyhistory.org/programs/illiberal-america-a-history?date=2025-07-16,Our popular outdoor lecture series is back! The New York Historical is thrilled to once again partner with the Bryant Park Reading Room to present a series of free programs in the park.,"To many, the insurrection at the Capitol on January 6, 2021 exemplified a strand of illiberalism in the American story that can be traced from the systematic expulsion of Native Americans in the mid-19th century; through the denial of constitutional rights to Black Americans during Reconstruction; all the way to today. Join professor Steven Hahn to learn how the history of illiberalism is a history of the forces that have shaped—and continue to shape—the nation.

Steven Hahn is Professor of History at New York University and a Pulitzer Prize-winning author whose works include A Nation under Our Feet: Black Political Struggles in the Rural South from Slavery to the Great Migration and Illiberal America: A History.",7 PM - 8PM,This program will be held at the outdoor Reading Room in Bryant Park. The Reading Room is located on the 42nd Street side of the park between 5th and 6th Avenues. Look for the yellow and white umbrellas.
Tours,"July 18, 2025","Meet the Curator: Blacklisted: An American Story
Featuring: Anne Lessy",https://www.nyhistory.org/programs/meet-the-curator-blacklisted?date=2025-07-18,,"Have you ever wanted to chat with our curators about how exhibitions at The New York Historical come together? Now's your chance! Join curator Anne Lessy in the exhibition Blacklisted: An American Story and learn what it was like to work on this exploration of politics, art, culture, and social dynamics during Hollywood’s Red Scare of the 1940s and '50s. Lessy will briefly introduce the project and highlight a few of her favorite items before opening up the conversation to your questions.

Meet the Curator is a monthly program that invites visitors to engage in casual conversation with members of The New York Historical's curatorial team. Come to talk and ask questions about our current exhibitions and the objects on display.

Anne Lessy is an assistant curator of history exhibitions and academic engagement at The New York Historical.",12 PM - 1 PM,"1st floor, Robert H. and Clarice Smith South Gallery, The New York Historical, 170 Central Park West, New York, NY 10024"
Music,"July 18, 2025",New York Historical Summer!,https://www.nyhistory.org/programs/new-york-historical-summer11?date=2025-07-18,Spend your Friday evenings with us this July! The New York Historical is celebrating the summer with live music.,"Join us for pay-as-you-wish admission on Fridays. Swing by our restaurant Clara for a special menu of select wine, beer, and cocktails, then wander over to Smith Gallery to hear old-school jazz starting at 5:30 pm from Michael Hashim's trio.",5:30 PM – 7:30 PM,"1st floor, Robert H. and Clarice Smith New York Gallery of American History at The New York Historical, 170 Central Park West, New York, NY 10024"
Talk,"July 23, 2025","Lincoln’s Lady Spymaster: The Untold Story of the Abolitionist Southern Belle Who Helped Win the Civil War
Featuring: Gerri Willis",https://www.nyhistory.org/programs/lincolns-lady-spymaster-untold-story-abolitionist-southern-belle-who-helped-win-civil-war?date=2025-07-23,Our popular outdoor lecture series is back! The New York Historical is thrilled to once again partner with the Bryant Park Reading Room to present a series of free programs in the park.,"In the eyes of Confederate society, Elizabeth Van Lew was the perfect Southern belle, with charm, wit, and an elegant Richmond mansion. But in reality, she was building a secret network of spies that included enslaved people, Unionists, and prisoners of war. Author Gerri Willis uncovers the story of this underappreciated American figure, who, through her political savvy and daring escapades, provided vital daily information to Ulysses S. Grant and the Union Army during the Civil War.

Gerri Willis is a journalist and former host of The Willis Report on Fox Business, as well as the author of Lincoln’s Lady Spymaster: The Untold Story of the Abolitionist Southern Belle Who Helped Win the Civil War.",7 PM - 8 PM,This program will be held at the outdoor Reading Room in Bryant Park. The Reading Room is located on the 42nd Street side of the park between 5th and 6th Avenues. Look for the yellow and white umbrellas.
Tours,"July 24, 2025",Gallery Tour: Robert Caro in the Museum,https://www.nyhistory.org/programs/gallery-tour-robert-caro-in-the-museum7-24?date=2025-07-24,Discover the work and career of American journalist and author Robert A. Caro on a docent-led guided tour of Robert Caro’s The Power Broker at 50 and “Turn Every Page”: Inside the Robert A Caro.,"The Power Broker has been called “surely the greatest book ever written about a city.”  This groundbreaking book made known for the first time how Robert Moses, over more than four decades and without ever being elected to public office, amassed power so immense that with it, he shaped New York. The installation explores the story behind the book: how Caro uncovered the truth behind the image that Moses had so carefully cultivated to reveal the extent of Moses’ power and the heartbreaking human cost behind his public works.

""Turn Every Page"" includes never-before-seen highlights from the recently opened Robert A. Caro Archive—which New-York Historical acquired in 2019—that provide an intimate view of how Caro started his career and how he worked as a reporter. ",11:30 am – 12:30 pm,"The New York Historical, 170 Central Park West, New York, NY 10024"
Music,"July 25, 2025",New York Historical Summer!,https://www.nyhistory.org/programs/new-york-historical-summer12?date=2025-07-25,Spend your Friday evenings with us this July! The New York Historical is celebrating the summer with live music.,"Join us for pay-as-you-wish admission on Fridays. Swing by our restaurant Clara for a special menu of select wine, beer, and cocktails, then wander over to Smith Gallery to hear old-school jazz starting at 5:30 pm from Michael Hashim's trio.",5:30 PM – 7:30 PM,"1st floor, Robert H. and Clarice Smith New York Gallery of American History at The New York Historical, 170 Central Park West, New York, NY 10024"
Talk,"July 30, 2025","Religion in the Lands that Became America: A New History
Featuring: Thomas A. Tweed",https://www.nyhistory.org/programs/religion-in-the-lands-that-became-america-a-new-history?date=2025-07-30,Our popular outdoor lecture series is back! The New York Historical is thrilled to once again partner with the Bryant Park Reading Room to present a series of free programs in the park.,"Traditional narratives of religion in North America begin with the arrival of English settlers, bypassing the 10,000 years of religious practice that predated the pilgrims and had an enormous impact on the development of the continent. Historian Thomas A. Tweed illuminates the histories of Native American, African American, and European American religious traditions in North America, as well as their complex interactions, to provide a fascinating and prescient look at the spiritual practices that have shaped the continent.

Thomas A. Tweed is the Harold and Martha Welch Professor of American Studies and professor of history at the University of Notre Dame, as well as the author, most recently, of Religion: A Very Short Introduction and Religion in the Lands that Became America: A New History.",7PM - 8PM,This program will be held at the outdoor Reading Room in Bryant Park. The Reading Room is located on the 42nd Street side of the park between 5th and 6th Avenues. Look for the yellow and white umbrellas.
