Event Type,Date,Name,Short Description,Description,Location,Time
,"July 1, 2025",Met Expert Talks—Sargent and Paris,,"Hear new insights and untold stories from Met insiders including curators, scientists, conservators, and scholars and take a closer look at the works of art on view in the galleries.",The Met Fifth Avenue,3–3:30 pm
,"July 2, 2025",Silent Book Club of Death NYC at The Met Cloisters,Join the New York City chapter of the Silent Book Club of Death for an afternoon of reading and contemplating mortality.,"Join the New York City chapter of the Silent Book Club of Death, facilitated by death care worker and death literacy advocate Lauren Seeley, for an afternoon of reading and contemplating mortality in the galleries of The Met Cloisters.

Start the afternoon with an hour of silent reading followed by a game of The Death Deck and open discussion among participants. Books are provided, but you are welcome to bring your own.","The Met Cloisters
Gallery 7, Cuxa Cloister",2–5 pm
,"July 4, 2025",Met Expert Talks at The Met Cloisters—A History of The Met Cloisters,Join Museum experts for a deep dive into a selection of exhibition objects in the galleries.,"In celebration of the 100th anniversary of The Met’s acquisition of The Cloisters Collection, delve into topics that unveil special moments and objects in the history of The Met Cloisters.

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive, into a selection of objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look. You’ll also have the opportunity to ask questions. ","The Met Cloisters
Main Hall",3–3:30 pm
,"July 7, 2025",Connecting Collections Summer Institute,Learn techniques for analyzing and interpreting modern and contemporary art in three New York City art museums.,"Learn techniques for analyzing and interpreting modern and contemporary art in three New York City art museums during this week-long program. Hosted by The Metropolitan Museum of Art with The Museum of Modern Art and the Solomon R. Guggenheim Museum.

Objectives include:
• Learning and applying object-based teaching strategies in the classroom and beyond
• Building confidence incorporating modern and contemporary art into lesson plans
• Utilizing great works of art as forums for interdisciplinary investigations
• Becoming a part of a learning community with other educators and museum staff","The Met Fifth Avenue
Bonnie J. Sacerdote Lecture Hall, Ruth and Harold D. Uris Center for Education",10 am–4 pm
,"July 10, 2025","Met Expert Talks—The New Art: American Photography, 1839–1910",Join Museum experts for a deep dive into a selection of exhibition objects in the galleries.,"Virginia McBride, Research Associate, Department of Photographs, The Met 

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive into a selection of exhibition objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look at the works of art. You’ll also have the opportunity to ask questions.","The Met Fifth Avenue Gallery 691, The Charles Z. Offin Gallery",3–3:30 pm
,"July 11, 2025",Met Expert Talks at The Met Cloisters—A History of The Met Cloisters,Join Museum experts for a deep dive into a selection of exhibition objects in the galleries.,"In celebration of the 100th anniversary of The Met’s acquisition of The Cloisters Collection, delve into topics that unveil special moments and objects in the history of The Met Cloisters.

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive, into a selection of objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look. You’ll also have the opportunity to ask questions. ","The Met Cloisters
Main Hall",3–3:30 pm
,,Date Night—Sargent and Paris,"Join us for a lively evening of performances, art making, and chats inspired by the exhibition Sargent and Paris.","Gallery Talks
6–7 pm 
Gallery 899, The Tisch Galleries
Join Museum educators for short discussions in front of selected works of art. Talks repeat every 15 minutes, and you’ll also have the opportunity to ask questions.

Artists on Artworks—Artist Drake Carr on John Singer Sargent
7–7:30 pm 
Gallery 899, The Tisch Galleries
Join artist Drake Carr as he reflects on artworks in Sargent and Paris and speaks about his own practice as a painter and illustrator. 
Note: Space is limited; first come, first served. Priority will be given to those who register.

Drop-in Drawing
6–8 pm 
Gallery 548, Carroll and Milton Petrie European Sculpture Court 
Be inspired by artists and original works of art! Experience The Met collection through drawing and respond to creative challenges. 

Walk-up Writing
6–8 pm 
Gallery 899, The Tisch Galleries
Respond to writing prompts inspired by the work of John Singer Sargent. Materials are provided, but you may bring your own notebook. Please note, only pencils are allowed in the galleries.

Performance—Sargent’s Soundtrack
6–6:30 pm 
Gallery 681, The André Mertens Galleries for Musical Instruments
Listen to advanced students from Juilliard's Historical Performance Department as they play French music from the late 19th century inspired by Sargent’s early career in Paris.

Cocktail—Elderflower French 75 
5–8 pm 
Museum Cafes
Indulge in a custom cocktail inspired by the exhibition Sargent and Paris, available for purchase.
Vodka, elderflower liqueur, lemon, sparkling wine 

Presented in conjunction with the exhibition Sargent and Paris.","The Met Fifth Avenue
Various locations, Floors 1 and 2",6–8 pm
,,The Observant Eye,"Slow down, tap into your powers of observation, and discover a work of art through close looking and discussion.","Slow down, tap into your powers of observation, and discover a work of art through close looking and discussion. No prior knowledge of art is necessary. All adult learners are welcome. Stools are provided.","The Met Fifth Avenue
Meet in Carson Family Hall, Ruth and Harold D. Uris Center for Education",6:30–7:30 pm
,"July 18, 2025",Met Expert Talks at The Met Cloisters—A History of The Met Cloisters,Join Museum experts for a deep dive into a selection of exhibition objects in the galleries.,"In celebration of the 100th anniversary of The Met’s acquisition of The Cloisters Collection, delve into topics that unveil special moments and objects in the history of The Met Cloisters.

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive, into a selection of objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look. You’ll also have the opportunity to ask questions. ","The Met Cloisters
Main Hall",3–3:30 pm
,"July 22, 2025",Met Expert Talks en español—La herencia cultural de la talavera poblana,Observe cerca las obras de arte y escuche de primera mano a los especialistas del Met.,,"The Met Fifth Avenue
Gallery 774, Henry R. Luce Center for the Study of American Art",11–11:45 am
